jugador,season,Posicion,total_intentos,partidos_jugados,intentos_aro,intentos_cerca,intentos_media_distancia,intentos_triple,intentos_tiro_libre,acierto_aro,acierto_cerca,acierto_media_distancia,acierto_triple,acierto_tiro_libre,proporcion_aro,proporcion_cerca,proporcion_media_distancia,proporcion_triple,proporcion_tiro_libre,porcentaje_acierto_global,altura,edad,peso
Bobby Portis,2021,F-C,848,86,168,180,193,209,98,0.6845238095238095,0.4666666666666667,0.47668393782383417,0.44019138755980863,0.7346938775510204,0.19811320754716982,0.21226415094339623,0.2275943396226415,0.24646226415094338,0.11556603773584906,0.5365566037735849,2.06,25,250
Bobby Portis,2022,F-C,1120,84,185,203,217,380,135,0.6378378378378379,0.5073891625615764,0.46543778801843316,0.3763157894736842,0.7555555555555555,0.16517857142857142,0.18125,0.19375,0.3392857142857143,0.12053571428571429,0.50625,2.06,26,250
Bobby Portis,2023,F-C,972,75,168,188,214,274,128,0.6666666666666666,0.5638297872340425,0.4719626168224299,0.3613138686131387,0.7734375,0.1728395061728395,0.1934156378600823,0.22016460905349794,0.28189300411522633,0.13168724279835392,0.5318930041152263,2.06,27,250
Bobby Portis,2024,F-C,1146,88,198,236,318,257,137,0.7272727272727273,0.4872881355932203,0.46855345911949686,0.3968871595330739,0.7737226277372263,0.17277486910994763,0.20593368237347295,0.2774869109947644,0.22425828970331588,0.11954624781849912,0.537521815008726,2.06,28,250
Bobby Simmons,2010,G-F,137,23,14,5,35,63,20,0.5,1,0.2857142857142857,0.31746031746031744,0.9,0.10218978102189781,0.0364963503649635,0.25547445255474455,0.45985401459854014,0.145985401459854,0.43795620437956206,2.01,29,210
Bol Bol,2023,F-C,586,69,134,145,102,97,108,0.9029850746268657,0.5103448275862069,0.4019607843137255,0.25773195876288657,0.7592592592592593,0.22866894197952217,0.24744027303754265,0.17406143344709898,0.16552901023890784,0.18430034129692832,0.5853242320819113,2.21,23,220
Bol Bol,2024,F-C,173,37,29,41,34,50,19,0.896551724137931,0.6829268292682927,0.5588235294117647,0.42,0.7894736842105263,0.1676300578034682,0.23699421965317918,0.19653179190751446,0.28901734104046245,0.10982658959537572,0.63005780346820806,2.21,24,220
Bones Hyland,2022,G,746,74,58,96,146,307,139,0.7068965517241379,0.3541666666666667,0.4178082191780822,0.3485342019543974,0.8561151079136691,0.0777479892761394,0.128686327077748,0.19571045576407506,0.41152815013404825,0.1863270777479893,0.48525469168900803,1.88,21,169
Bones Hyland,2023,G,727,61,83,124,145,263,112,0.6987951807228916,0.28225806451612906,0.3931034482758621,0.35361216730038025,0.8392857142857143,0.11416781292984869,0.17056396148555708,0.19944979367262725,0.36176066024759285,0.15405777166437415,0.46354883081155435,1.88,22,169
Bones Hyland,2024,G,284,37,30,53,84,90,27,0.7333333333333333,0.37735849056603776,0.35714285714285715,0.3111111111111111,0.8148148148148148,0.1056338028169014,0.18661971830985916,0.29577464788732394,0.31690140845070425,0.09507042253521127,0.4295774647887324,1.88,23,169
Boris Diaw,2010,F-C,952,86,304,107,175,215,151,0.6480263157894737,0.4766355140186916,0.4114285714285714,0.3116279069767442,0.7615894039735099,0.31932773109243695,0.11239495798319328,0.18382352941176472,0.22584033613445378,0.15861344537815125,0.5273109243697479,2.03,27,250
Boris Diaw,2011,F-C,889,80,216,164,161,225,123,0.6712962962962963,0.5,0.4409937888198758,0.3466666666666667,0.6829268292682927,0.24296962879640044,0.1844769403824522,0.18110236220472442,0.2530933633295838,0.13835770528683913,0.5174353205849269,2.03,28,250
Boris Diaw,2013,F-C,462,87,129,74,92,88,79,0.7674418604651163,0.4864864864864865,0.34782608695652173,0.375,0.7468354430379747,0.2792207792207792,0.16017316017316016,0.19913419913419914,0.19047619047619047,0.170995670995671,0.5606060606060606,2.03,30,250
Boris Diaw,2014,F-C,880,100,213,222,149,156,140,0.6995305164319249,0.5135135135135135,0.37583892617449666,0.40384615384615385,0.7214285714285714,0.24204545454545454,0.25227272727272726,0.1693181818181818,0.17727272727272728,0.1590909090909091,0.5488636363636363,2.03,31,250
Boris Diaw,2015,F-C,808,88,182,212,127,181,106,0.6208791208791209,0.4858490566037736,0.4015748031496063,0.30939226519337015,0.7641509433962265,0.22524752475247525,0.2623762376237624,0.15717821782178218,0.22400990099009901,0.1311881188118812,0.5,2.03,32,250
Boris Diaw,2016,F-C,500,84,155,127,64,75,79,0.6645161290322581,0.5196850393700787,0.328125,0.36,0.7341772151898734,0.31,0.254,0.128,0.15,0.158,0.55,2.03,33,250
Boris Diaw,2017,F-C,420,82,122,75,84,94,45,0.7131147540983607,0.4266666666666667,0.2976190476190476,0.2765957446808511,0.7777777777777778,0.2904761904761905,0.17857142857142858,0.2,0.22380952380952382,0.10714285714285714,0.4880952380952381,2.03,34,250
Brad Miller,2010,C-F,835,87,191,69,212,136,227,0.5706806282722513,0.4492753623188406,0.3915094339622642,0.27205882352941174,0.8325991189427313,0.22874251497005987,0.08263473053892216,0.25389221556886227,0.162874251497006,0.2718562874251497,0.5377245508982036,2.11,33,244
Brad Miller,2011,C-F,387,57,66,38,83,106,94,0.6060606060606061,0.23684210526315788,0.5060240963855421,0.37735849056603776,0.8297872340425532,0.17054263565891473,0.09819121447028424,0.2144702842377261,0.2739018087855297,0.24289405684754523,0.5400516795865633,2.11,34,244
Brad Wanamaker,2019,G,144,37,21,21,30,40,32,0.8095238095238095,0.38095238095238093,0.36666666666666664,0.425,0.84375,0.14583333333333334,0.14583333333333334,0.20833333333333334,0.2777777777777778,0.2222222222222222,0.5555555555555556,1.91,29,210
Brad Wanamaker,2020,G,574,86,104,108,83,127,152,0.7019230769230769,0.35185185185185186,0.3855421686746988,0.3779527559055118,0.9210526315789473,0.18118466898954705,0.18815331010452963,0.1445993031358885,0.22125435540069685,0.26480836236933797,0.5766550522648084,1.91,30,210
Brad Wanamaker,2021,G,400,60,86,74,60,79,101,0.6395348837209303,0.32432432432432434,0.35,0.189873417721519,0.8910891089108911,0.215,0.185,0.15,0.1975,0.2525,0.5125,1.91,31,210
Brad Wanamaker,2022,G,102,23,14,18,31,14,25,0.5714285714285714,0.3333333333333333,0.3225806451612903,0.2857142857142857,0.92,0.13725490196078433,0.17647058823529413,0.30392156862745096,0.13725490196078433,0.24509803921568626,0.5,1.91,32,210
Bradley Beal,2013,G,842,56,114,70,272,229,157,0.5877192982456141,0.37142857142857144,0.375,0.37554585152838427,0.7834394904458599,0.13539192399049882,0.0831353919239905,0.32304038004750596,0.27197149643705465,0.18646080760095013,0.47980997624703087,1.93,19,207
Bradley Beal,2014,G,1564,84,193,101,640,392,238,0.6269430051813472,0.38613861386138615,0.371875,0.4030612244897959,0.7899159663865546,0.12340153452685422,0.06457800511508952,0.4092071611253197,0.2506393861892583,0.15217391304347827,0.47570332480818417,1.93,20,207
Bradley Beal,2015,G,1277,73,219,103,412,318,225,0.6529680365296804,0.2815533980582524,0.3567961165048544,0.39622641509433965,0.7955555555555556,0.17149569303054032,0.08065779169929523,0.3226311667971809,0.2490211433046202,0.17619420516836334,0.48864526233359434,1.93,21,207
Bradley Beal,2016,G,948,54,165,93,261,258,171,0.6606060606060606,0.43010752688172044,0.39080459770114945,0.375968992248062,0.7602339181286549,0.17405063291139242,0.0981012658227848,0.27531645569620256,0.2721518987341772,0.18037974683544303,0.5042194092827004,1.93,22,207
Bradley Beal,2017,G,1985,90,342,187,435,618,403,0.652046783625731,0.43315508021390375,0.5080459770114942,0.3786407766990291,0.8238213399503722,0.17229219143576827,0.09420654911838791,0.21914357682619648,0.31133501259445845,0.20302267002518892,0.5496221662468513,1.93,23,207
Bradley Beal,2018,G,1969,88,279,195,579,531,385,0.7096774193548387,0.40512820512820513,0.4317789291882556,0.3785310734463277,0.7948051948051948,0.14169629253428137,0.09903504316912139,0.2940578974098527,0.2696800406297613,0.19553072625698323,0.5251396648044693,1.93,24,207
Bradley Beal,2019,G,2067,83,405,201,479,534,448,0.7209876543209877,0.43283582089552236,0.42379958246346555,0.34831460674157305,0.8080357142857143,0.19593613933236576,0.09724238026124818,0.23173681664247703,0.25834542815674894,0.21673923560716013,0.5466860183841316,1.93,25,207
Bradley Beal,2020,G,1760,57,283,210,391,419,457,0.7102473498233216,0.40476190476190477,0.40664961636828645,0.3532219570405728,0.8424507658643327,0.16079545454545455,0.11931818181818182,0.22215909090909092,0.23806818181818182,0.2596590909090909,0.5556818181818182,1.93,26,207
Bradley Beal,2021,G,2063,68,233,461,504,365,500,0.6952789699570815,0.5292841648590022,0.4384920634920635,0.3506849315068493,0.886,0.1129423170140572,0.2234609791565681,0.2443044110518662,0.1769268056228793,0.2423654871546292,0.5807077072224915,1.93,27,207
Bradley Beal,2022,G,972,40,126,215,250,180,201,0.7301587301587301,0.4232558139534884,0.456,0.2833333333333333,0.8308457711442786,0.12962962962962962,0.22119341563786007,0.257201646090535,0.18518518518518517,0.20679012345679013,0.529835390946502,1.93,28,207
Bradley Beal,2023,G,1106,50,149,247,313,169,228,0.7785234899328859,0.5020242914979757,0.4504792332268371,0.3727810650887574,0.8421052631578947,0.13471971066907776,0.22332730560578662,0.283001808318264,0.15280289330922242,0.20614828209764918,0.5750452079566004,1.93,29,207
Bradley Beal,2024,G,934,57,169,163,237,226,139,0.7396449704142012,0.4662576687116564,0.4430379746835443,0.42920353982300885,0.8129496402877698,0.1809421841541756,0.1745182012847966,0.25374732334047106,0.24197002141327623,0.14882226980728053,0.5524625267665952,1.93,30,207
Brandan Wright,2011,F-C,148,30,47,48,22,0,31,0.723404255319149,0.4166666666666667,0.2727272727272727,NA,0.6774193548387096,0.31756756756756754,0.32432432432432434,0.14864864864864866,0,0.20945945945945946,0.5472972972972973,2.08,23,235
Brandan Wright,2013,F-C,496,62,154,160,85,2,95,0.7337662337662337,0.56875,0.4235294117647059,0,0.6105263157894737,0.31048387096774194,0.3225806451612903,0.17137096774193547,0.004032258064516129,0.19153225806451613,0.6008064516129032,2.08,25,235
Brandan Wright,2014,F-C,461,64,199,108,42,0,112,0.7989949748743719,0.5648148148148148,0.4523809523809524,NA,0.7142857142857143,0.4316702819956616,0.23427331887201736,0.0911062906724512,0,0.24295010845986983,0.6919739696312365,2.08,26,235
Brandan Wright,2015,F-C,475,73,208,126,26,3,112,0.7932692307692307,0.4444444444444444,0.46153846153846156,0,0.6964285714285714,0.4378947368421053,0.26526315789473687,0.05473684210526316,0.00631578947368421,0.23578947368421052,0.6547368421052632,2.08,27,235
Brandan Wright,2017,F-C,175,29,82,38,19,1,35,0.7439024390243902,0.39473684210526316,0.47368421052631576,0,0.6571428571428571,0.4685714285714286,0.21714285714285714,0.10857142857142857,0.005714285714285714,0.2,0.6171428571428571,2.08,29,235
Brandan Wright,2018,F-C,135,28,67,21,14,0,33,0.7014925373134329,0.3333333333333333,0.35714285714285715,NA,0.6363636363636364,0.4962962962962963,0.15555555555555556,0.1037037037037037,0,0.24444444444444444,0.5925925925925926,2.08,30,235
Brandin Podziemski,2024,G,679,74,105,194,101,200,79,0.7047619047619048,0.44329896907216493,0.40594059405940597,0.36,0.6329113924050633,0.15463917525773196,0.2857142857142857,0.1487481590574374,0.29455081001472755,0.11634756995581738,0.47569955817378495,1.93,20,205
Brandon Bass,2010,F,315,51,88,37,121,0,69,0.6363636363636364,0.40540540540540543,0.45454545454545453,NA,0.8260869565217391,0.27936507936507937,0.11746031746031746,0.38412698412698415,0,0.21904761904761905,0.580952380952381,2.03,24,250
Brandon Bass,2011,F,929,81,187,97,397,2,246,0.7112299465240641,0.35051546391752575,0.45591939546599497,0,0.8211382113821138,0.20129171151776104,0.10441334768568353,0.42734122712594186,0.002152852529601722,0.26480086114101187,0.5920344456404736,2.03,25,250
Brandon Bass,2013,F,786,87,160,79,379,2,166,0.625,0.3670886075949367,0.45646437994722955,0,0.8493975903614458,0.2035623409669211,0.1005089058524173,0.4821882951653944,0.002544529262086514,0.21119592875318066,0.5636132315521628,2.03,27,250
Brandon Bass,2014,F,955,81,236,134,342,4,239,0.6186440677966102,0.30597014925373134,0.4766081871345029,0.25,0.8577405857740585,0.24712041884816754,0.14031413612565444,0.3581151832460733,0.004188481675392671,0.25026178010471206,0.5821989528795811,2.03,28,250
Brandon Bass,2015,F,927,86,251,101,319,32,224,0.6892430278884463,0.3069306930693069,0.43260188087774293,0.28125,0.78125,0.2707659115426106,0.10895361380798274,0.3441208198489752,0.034519956850053934,0.24163969795037757,0.5674217907227616,2.03,29,250
Brandon Bass,2016,F,449,66,169,47,83,2,148,0.6804733727810651,0.3191489361702128,0.37349397590361444,0,0.8445945945945946,0.37639198218262804,0.10467706013363029,0.18485523385300667,0.004454342984409799,0.32962138084632514,0.6369710467706013,2.03,30,250
Brandon Bass,2017,F,277,51,92,32,62,3,88,0.717391304347826,0.4375,0.43548387096774194,0.3333333333333333,0.875,0.33212996389891697,0.11552346570397112,0.22382671480144403,0.010830324909747292,0.3176895306859206,0.6678700361010831,2.03,31,250
Brandon Boston Jr.,2022,G-F,397,48,72,52,112,89,72,0.6388888888888888,0.23076923076923078,0.375,0.2808988764044944,0.8194444444444444,0.181360201511335,0.1309823677581864,0.28211586901763225,0.22418136020151133,0.181360201511335,0.4634760705289673,1.98,20,188
Brandon Boston Jr.,2023,G-F,156,20,26,28,43,21,38,0.6923076923076923,0.21428571428571427,0.37209302325581395,0.38095238095238093,0.7631578947368421,0.16666666666666666,0.1794871794871795,0.27564102564102566,0.1346153846153846,0.24358974358974358,0.4935897435897436,1.98,21,188
Brandon Boston Jr.,2024,G-F,200,30,28,35,69,33,35,0.6428571428571429,0.34285714285714286,0.391304347826087,0.30303030303030304,0.6857142857142857,0.14,0.175,0.345,0.165,0.175,0.455,1.98,22,188
Brandon Clarke,2020,F,615,59,222,119,93,69,112,0.7702702702702703,0.5798319327731093,0.5161290322580645,0.391304347826087,0.7589285714285714,0.36097560975609755,0.19349593495934958,0.15121951219512195,0.11219512195121951,0.1821138211382114,0.6504065040650406,2.03,23,215
Brandon Clarke,2021,F,609,60,187,153,80,76,113,0.7219251336898396,0.47058823529411764,0.375,0.2631578947368421,0.6902654867256637,0.3070607553366174,0.2512315270935961,0.13136288998357964,0.12479474548440066,0.18555008210180624,0.5500821018062397,2.03,24,215
Brandon Clarke,2022,F,722,76,254,191,70,23,184,0.7913385826771654,0.5445026178010471,0.4857142857142857,0.21739130434782608,0.657608695652174,0.3518005540166205,0.26454293628808867,0.09695290858725762,0.03185595567867036,0.2548476454293629,0.6440443213296398,2.03,25,215
Brandon Clarke,2023,F,486,56,162,120,61,6,137,0.8024691358024691,0.5583333333333333,0.5081967213114754,0.16666666666666666,0.7226277372262774,0.3333333333333333,0.24691358024691357,0.12551440329218108,0.012345679012345678,0.28189300411522633,0.6748971193415638,2.03,26,215
Brandon Davies,2014,F,181,47,58,31,29,10,53,0.5689655172413793,0.3870967741935484,0.2413793103448276,0.2,0.6415094339622641,0.32044198895027626,0.1712707182320442,0.16022099447513813,0.055248618784530384,0.292817679558011,0.4861878453038674,2.08,22,240
Brandon Davies,2015,F,169,26,38,32,31,33,35,0.5263157894736842,0.25,0.5483870967741935,0.24242424242424243,0.6285714285714286,0.22485207100591717,0.1893491124260355,0.1834319526627219,0.1952662721893491,0.20710059171597633,0.4437869822485207,2.08,23,240
Brandon Goodwin,2020,G,218,32,35,35,35,83,30,0.6571428571428571,0.37142857142857144,0.4,0.30120481927710846,0.9333333333333333,0.16055045871559634,0.16055045871559634,0.16055045871559634,0.38073394495412843,0.13761467889908258,0.4724770642201835,1.83,24,180
Brandon Goodwin,2021,G,266,44,47,38,43,95,43,0.48936170212765956,0.39473684210526316,0.3488372093023256,0.3263157894736842,0.6511627906976745,0.17669172932330826,0.14285714285714285,0.16165413533834586,0.35714285714285715,0.16165413533834586,0.42105263157894735,1.83,25,180
Brandon Goodwin,2022,G,192,32,36,34,32,52,38,0.6666666666666666,0.38235294117647056,0.25,0.36538461538461536,0.631578947368421,0.1875,0.17708333333333334,0.16666666666666666,0.2708333333333333,0.19791666666666666,0.4583333333333333,1.83,26,180
Brandon Ingram,2017,F,901,79,178,109,216,184,214,0.6292134831460674,0.29357798165137616,0.3611111111111111,0.29347826086956524,0.6214953271028038,0.19755826859045506,0.12097669256381798,0.2397336293007769,0.20421753607103219,0.23751387347391786,0.45394006659267483,2.03,19,190
Brandon Ingram,2018,F,1051,60,240,160,262,105,284,0.6958333333333333,0.3125,0.40458015267175573,0.37142857142857144,0.6795774647887324,0.22835394862036157,0.1522359657469077,0.24928639391056137,0.09990485252140818,0.2702188392007612,0.5280685061845861,2.03,20,190
Brandon Ingram,2019,F,1017,52,226,151,260,91,289,0.6769911504424779,0.47019867549668876,0.4153846153846154,0.32967032967032966,0.6747404844290658,0.2222222222222222,0.14847590953785644,0.255653883972468,0.08947885939036382,0.28416912487708945,0.5476892822025565,2.03,21,190
Brandon Ingram,2020,F,1468,63,249,160,320,371,368,0.6546184738955824,0.40625,0.425,0.3881401617250674,0.8505434782608695,0.16961852861035423,0.10899182561307902,0.21798365122615804,0.25272479564032696,0.2506811989100817,0.5592643051771117,2.03,22,190
Brandon Ingram,2021,F,1421,61,137,142,456,366,320,0.6861313868613139,0.45774647887323944,0.4758771929824561,0.3743169398907104,0.878125,0.0964109781843772,0.09992962702322308,0.32090077410274453,0.25756509500351865,0.22519352568613651,0.5587614356087263,2.03,23,190
Brandon Ingram,2022,F,1519,63,138,196,557,249,379,0.7318840579710145,0.44387755102040816,0.46858168761220825,0.3413654618473896,0.8232189973614775,0.09084924292297564,0.12903225806451613,0.3666886109282423,0.16392363396971693,0.24950625411454905,0.5569453587886768,2.03,24,190
Brandon Ingram,2023,F,1136,46,102,170,426,155,283,0.7647058823529411,0.4823529411764706,0.45774647887323944,0.38064516129032255,0.8798586572438163,0.0897887323943662,0.14964788732394366,0.375,0.136443661971831,0.24911971830985916,0.5836267605633803,2.03,25,190
Brandon Ingram,2024,F,1435,70,140,184,545,235,331,0.7285714285714285,0.483695652173913,0.47522935779816516,0.35319148936170214,0.8096676737160121,0.0975609756097561,0.12822299651567945,0.3797909407665505,0.16376306620209058,0.23066202090592333,0.5581881533101045,2.03,26,190
Brandon Jennings,2010,G,1617,88,318,142,434,424,299,0.44025157232704404,0.352112676056338,0.3456221198156682,0.36556603773584906,0.8160535117056856,0.19666048237476808,0.0878169449598021,0.2683982683982684,0.2622139764996908,0.18491032776747063,0.45701917130488556,1.85,20,170
Brandon Jennings,2011,G,1172,63,223,152,248,303,246,0.5291479820627802,0.35526315789473684,0.36693548387096775,0.3234323432343234,0.8089430894308943,0.19027303754266212,0.1296928327645051,0.21160409556313994,0.25853242320819114,0.2098976109215017,0.4778156996587031,1.85,21,170
Brandon Jennings,2013,G,1597,84,288,169,362,480,298,0.5034722222222222,0.28402366863905326,0.40331491712707185,0.3625,0.8120805369127517,0.18033813400125234,0.1058234189104571,0.2266750156543519,0.3005635566687539,0.18659987476518472,0.47276142767689416,1.85,23,170
Brandon Jennings,2014,G,1431,79,234,154,284,441,318,0.5384615384615384,0.2662337662337662,0.3626760563380282,0.3287981859410431,0.7484276729559748,0.16352201257861634,0.10761705101327743,0.1984626135569532,0.3081761006289308,0.2222222222222222,0.45632424877707894,1.85,24,170
Brandon Jennings,2015,G,683,41,141,75,119,205,143,0.5531914893617021,0.25333333333333335,0.40336134453781514,0.3463414634146341,0.8391608391608392,0.20644216691068815,0.10980966325036604,0.17423133235724744,0.3001464128843338,0.20937042459736457,0.49194729136163984,1.85,25,170
Brandon Jennings,2016,G,381,48,45,38,69,151,78,0.6,0.34210526315789475,0.3188405797101449,0.33112582781456956,0.7307692307692307,0.11811023622047244,0.09973753280839895,0.18110236220472442,0.3963254593175853,0.2047244094488189,0.4435695538057743,1.85,26,170
Brandon Jennings,2017,G,731,93,118,62,141,250,160,0.5,0.24193548387096775,0.40425531914893614,0.3,0.75625,0.16142270861833105,0.08481532147742818,0.19288645690834474,0.34199726402188785,0.2188782489740082,0.4473324213406293,1.85,27,170
Brandon Jennings,2018,G,86,15,9,8,24,33,12,0.5555555555555556,0.375,0.4583333333333333,0.24242424242424243,1,0.10465116279069768,0.09302325581395349,0.27906976744186046,0.38372093023255816,0.13953488372093023,0.45348837209302323,1.85,28,170
Brandon Knight,2013,G,1100,75,252,119,183,322,224,0.5436507936507936,0.3025210084033613,0.34972677595628415,0.36645962732919257,0.7321428571428571,0.2290909090909091,0.10818181818181818,0.16636363636363635,0.2927272727272727,0.20363636363636364,0.4718181818181818,1.88,21,182
Brandon Knight,2014,G,1392,70,313,152,286,328,313,0.5782747603833865,0.34868421052631576,0.4020979020979021,0.3201219512195122,0.7987220447284346,0.22485632183908047,0.10919540229885058,0.20545977011494254,0.23563218390804597,0.22485632183908047,0.5057471264367817,1.88,22,182
Brandon Knight,2015,G,1111,63,233,74,266,315,223,0.5879828326180258,0.28378378378378377,0.3533834586466165,0.3904761904761905,0.874439461883408,0.20972097209720972,0.0666066606660666,0.23942394239423942,0.28352835283528355,0.2007200720072007,0.513051305130513,1.88,23,182
Brandon Knight,2016,G,1069,52,159,125,279,323,183,0.6226415094339622,0.4,0.3835125448028674,0.33126934984520123,0.8524590163934426,0.14873713751169318,0.11693171188026193,0.2609915809167446,0.3021515434985968,0.17118802619270346,0.4855004677268475,1.88,24,182
Brandon Knight,2017,G,678,54,116,94,192,122,154,0.5689655172413793,0.3191489361702128,0.4010416666666667,0.29508196721311475,0.8571428571428571,0.1710914454277286,0.13864306784660768,0.2831858407079646,0.17994100294985252,0.22713864306784662,0.5029498525073747,1.88,25,182
Brandon Knight,2019,G,294,38,27,40,86,107,34,0.5555555555555556,0.325,0.47674418604651164,0.2803738317757009,0.7941176470588235,0.09183673469387756,0.1360544217687075,0.2925170068027211,0.36394557823129253,0.11564625850340136,0.42857142857142855,1.88,27,182
Brandon Knight,2020,G,189,24,9,13,36,101,30,0.4444444444444444,0.23076923076923078,0.3333333333333333,0.3564356435643564,0.5333333333333333,0.047619047619047616,0.06878306878306878,0.19047619047619047,0.5343915343915344,0.15873015873015872,0.37566137566137564,1.88,28,182
Brandon Miller,2024,F-G,1257,74,130,204,283,467,173,0.7307692307692307,0.39705882352941174,0.45229681978798586,0.3683083511777302,0.8265895953757225,0.10342084327764518,0.162291169451074,0.2251392203659507,0.3715194908512331,0.13762927605409706,0.492442322991249,2.01,21,200
Brandon Paul,2018,G,169,42,37,17,18,54,43,0.7027027027027027,0.5294117647058824,0.2222222222222222,0.2777777777777778,0.5116279069767442,0.21893491124260356,0.10059171597633136,0.10650887573964497,0.31952662721893493,0.25443786982248523,0.44970414201183434,1.93,26,200
Brandon Roy,2010,G,1489,67,255,112,455,226,441,0.6352941176470588,0.48214285714285715,0.43736263736263736,0.3185840707964602,0.7868480725623582,0.1712558764271323,0.07521826729348556,0.3055742108797851,0.15177971793149764,0.2961719274680994,0.5601074546675622,1.98,25,215
Brandon Roy,2011,G,718,53,94,95,250,128,151,0.6063829787234043,0.4105263157894737,0.372,0.328125,0.8278145695364238,0.1309192200557103,0.13231197771587744,0.34818941504178275,0.17827298050139276,0.21030640668523676,0.4958217270194986,1.98,26,215
Brandon Rush,2010,G-F,791,82,147,57,196,302,89,0.5034013605442177,0.43859649122807015,0.37755102040816324,0.4105960264900662,0.6292134831460674,0.18584070796460178,0.07206068268015171,0.24778761061946902,0.38179519595448796,0.1125158027812895,0.44627054361567636,1.98,24,220
Brandon Rush,2011,G-F,636,71,82,50,169,227,108,0.6219512195121951,0.32,0.35502958579881655,0.42290748898678415,0.75,0.1289308176100629,0.07861635220125786,0.26572327044025157,0.35691823899371067,0.16981132075471697,0.4779874213836478,1.98,25,220
Brandon Rush,2014,G-F,95,32,9,7,27,47,5,0.3333333333333333,0.42857142857142855,0.2962962962962963,0.3404255319148936,0.6,0.09473684210526316,0.07368421052631578,0.28421052631578947,0.49473684210526314,0.05263157894736842,0.3473684210526316,1.98,28,220
Brandon Rush,2016,G-F,306,78,48,16,48,164,30,0.5625,0.3125,0.4375,0.3902439024390244,0.6333333333333333,0.1568627450980392,0.05228758169934641,0.1568627450980392,0.5359477124183006,0.09803921568627451,0.4444444444444444,1.98,30,220
Brandon Rush,2017,G-F,206,45,31,11,37,109,18,0.45161290322580644,0.18181818181818182,0.2972972972972973,0.3944954128440367,0.7222222222222222,0.15048543689320387,0.05339805825242718,0.1796116504854369,0.529126213592233,0.08737864077669903,0.4029126213592233,1.98,31,220
Brandon Williams,2022,G,379,24,67,58,71,86,97,0.4626865671641791,0.39655172413793105,0.36619718309859156,0.29069767441860467,0.7010309278350515,0.17678100263852242,0.15303430079155672,0.18733509234828497,0.22691292875989447,0.2559366754617414,0.45646437994722955,1.85,22,190
Braxton Key,2022,F,85,11,17,25,11,19,13,0.7647058823529411,0.52,0.18181818181818182,0.2631578947368421,0.5384615384615384,0.2,0.29411764705882354,0.12941176470588237,0.2235294117647059,0.15294117647058825,0.47058823529411764,2.01,24,225
Brendan Haywood,2010,C,777,83,358,113,40,1,265,0.6759776536312849,0.30973451327433627,0.275,0,0.6188679245283019,0.46074646074646075,0.14543114543114544,0.05148005148005148,0.001287001287001287,0.3410553410553411,0.5817245817245817,2.13,30,268
Brendan Haywood,2011,C,474,85,165,71,17,1,220,0.7272727272727273,0.29577464788732394,0.29411764705882354,0,0.38181818181818183,0.34810126582278483,0.14978902953586498,0.035864978902953586,0.002109704641350211,0.4641350210970464,0.48523206751054854,2.13,31,268
Brendan Haywood,2013,C,279,58,69,101,43,1,65,0.6231884057971014,0.3465346534653465,0.3023255813953488,0,0.46153846153846156,0.24731182795698925,0.36200716845878134,0.15412186379928317,0.0035842293906810036,0.23297491039426524,0.4336917562724014,2.13,33,268
Brian Cardinal,2011,F,124,40,5,0,8,91,20,0.2,NA,0,0.4945054945054945,0.9,0.04032258064516129,0,0.06451612903225806,0.7338709677419355,0.16129032258064516,0.5161290322580645,2.03,33,245
Brian Cook,2011,F,194,35,25,20,46,79,24,0.64,0.35,0.32608695652173914,0.43037974683544306,0.625,0.12886597938144329,0.10309278350515463,0.23711340206185566,0.4072164948453608,0.12371134020618557,0.4484536082474227,2.06,30,234
Brian Roberts,2013,G,586,77,65,91,202,151,77,0.46153846153846156,0.46153846153846156,0.400990099009901,0.3841059602649007,0.9090909090909091,0.11092150170648464,0.1552901023890785,0.3447098976109215,0.257679180887372,0.13139931740614336,0.47952218430034127,1.85,27,173
Brian Roberts,2014,G,713,72,60,96,246,178,133,0.4,0.4479166666666667,0.45934959349593496,0.3595505617977528,0.9398496240601504,0.08415147265077139,0.13464235624123422,0.3450210378681627,0.2496493688639551,0.18653576437587657,0.517531556802244,1.85,28,173
Brian Roberts,2015,G,526,70,39,44,177,192,74,0.5384615384615384,0.4318181818181818,0.423728813559322,0.3177083333333333,0.8918918918918919,0.0741444866920152,0.08365019011406843,0.3365019011406844,0.3650190114068441,0.14068441064638784,0.4600760456273764,1.85,29,173
Brian Roberts,2016,G,224,52,30,18,77,46,53,0.6666666666666666,0.2222222222222222,0.44155844155844154,0.32608695652173914,0.8679245283018868,0.13392857142857142,0.08035714285714286,0.34375,0.20535714285714285,0.23660714285714285,0.53125,1.85,30,173
Brian Roberts,2017,G,161,39,21,14,43,44,39,0.42857142857142855,0.14285714285714285,0.4186046511627907,0.38636363636363635,0.8461538461538461,0.13043478260869565,0.08695652173913043,0.2670807453416149,0.2732919254658385,0.2422360248447205,0.4906832298136646,1.85,31,173
Brian Scalabrine,2010,F,91,31,9,3,24,49,6,0.7777777777777778,0,0.25,0.32653061224489793,0.6666666666666666,0.0989010989010989,0.03296703296703297,0.26373626373626374,0.5384615384615384,0.06593406593406594,0.3626373626373626,2.06,31,241
