jugador,season,Posicion,total_intentos,partidos_jugados,intentos_aro,intentos_cerca,intentos_media_distancia,intentos_triple,intentos_tiro_libre,acierto_aro,acierto_cerca,acierto_media_distancia,acierto_triple,acierto_tiro_libre,proporcion_aro,proporcion_cerca,proporcion_media_distancia,proporcion_triple,proporcion_tiro_libre,porcentaje_acierto_global,altura,edad,peso
Malaki Branham,2024,G,690,74,105,130,144,248,63,0.7428571428571429,0.3769230769230769,0.3888888888888889,0.35080645161290325,0.873015873015873,0.15217391304347827,0.18840579710144928,0.20869565217391303,0.35942028985507246,0.09130434782608696,0.47101449275362317,1.93,20,180
Malcolm Brogdon,2017,G,814,81,265,93,125,205,126,0.5773584905660377,0.3010752688172043,0.344,0.4292682926829268,0.8650793650793651,0.32555282555282555,0.11425061425061425,0.15356265356265356,0.25184275184275184,0.1547911547911548,0.5171990171990172,1.93,24,229
Malcolm Brogdon,2018,G,653,55,175,102,102,179,95,0.7028571428571428,0.3137254901960784,0.45098039215686275,0.3743016759776536,0.8736842105263158,0.2679938744257274,0.1562021439509954,0.1562021439509954,0.27411944869831545,0.14548238897396631,0.5375191424196019,1.93,25,229
Malcolm Brogdon,2019,G,988,71,353,133,68,271,163,0.6572237960339944,0.2932330827067669,0.38235294117647056,0.4280442804428044,0.9079754601226994,0.35728744939271256,0.1346153846153846,0.06882591093117409,0.2742914979757085,0.16497975708502025,0.5678137651821862,1.93,26,229
Malcolm Brogdon,2020,G,1024,58,236,101,235,238,214,0.5423728813559322,0.33663366336633666,0.4808510638297872,0.3235294117647059,0.8925233644859814,0.23046875,0.0986328125,0.2294921875,0.232421875,0.208984375,0.5302734375,1.93,27,229
Malcolm Brogdon,2021,G,1192,58,281,143,250,338,180,0.5480427046263345,0.4405594405594406,0.424,0.40236686390532544,0.8666666666666667,0.23573825503355705,0.11996644295302013,0.20973154362416108,0.2835570469798658,0.15100671140939598,0.5159395973154363,1.93,28,229
Malcolm Brogdon,2022,G,710,36,139,120,130,154,167,0.6330935251798561,0.475,0.3923076923076923,0.3051948051948052,0.8562874251497006,0.19577464788732393,0.16901408450704225,0.18309859154929578,0.21690140845070421,0.2352112676056338,0.543661971830986,1.93,29,229
Malcolm Brogdon,2023,G,1147,86,154,230,213,331,219,0.6298701298701299,0.43478260869565216,0.4694835680751174,0.4199395770392749,0.863013698630137,0.13426329555361813,0.2005231037489102,0.1857018308631212,0.2885789014821273,0.1909328683522232,0.5448997384481256,1.93,30,229
Malcolm Brogdon,2024,G,612,39,88,88,146,174,116,0.6022727272727273,0.4318181818181818,0.3767123287671233,0.41379310344827586,0.8189655172413793,0.1437908496732026,0.1437908496732026,0.238562091503268,0.28431372549019607,0.1895424836601307,0.511437908496732,1.93,31,229
Malcolm Delaney,2017,G,485,74,42,29,214,105,95,0.40476190476190477,0.3448275862068966,0.4392523364485981,0.2571428571428571,0.8,0.0865979381443299,0.05979381443298969,0.44123711340206184,0.21649484536082475,0.1958762886597938,0.4618556701030928,1.91,27,190
Malcolm Delaney,2018,G,377,54,39,33,92,121,92,0.5128205128205128,0.2727272727272727,0.391304347826087,0.36363636363636365,0.8043478260869565,0.10344827586206896,0.08753315649867374,0.2440318302387268,0.3209549071618037,0.2440318302387268,0.4854111405835544,1.91,28,190
